Timestamp,Milliseconds,X,Y,Z
2022-12-18 15:45:10,116500,4.194,-1.96,10.158
2022-12-18 15:45:10,117000,16.22,-7.989,6.919
2022-12-18 15:45:11,117501,12.682,-8.109,14.015
2022-12-18 15:45:11,118000,5.592,-14.707,7.443
2022-12-18 15:45:12,118500,5.949,-13.745,24.82
2022-12-18 15:45:12,119000,9.473,-11.836,20.716
2022-12-18 15:45:13,119501,9.5,-4.946,-10.4
2022-12-18 15:45:13,120000,0.567,3.189,15.947
2022-12-18 15:45:14,120500,-3.457,6.529,16.732
2022-12-18 15:45:14,121000,1.312,0.44,2.872
2022-12-18 15:45:15,121501,0.416,2.116,-1.278
2022-12-18 15:45:15,122000,-0.864,0.756,10.488
2022-12-18 15:45:16,122500,-3.785,-2.916,17.151
2022-12-18 15:45:16,123000,-1.912,-0.193,16.136
2022-12-18 15:45:17,123501,-3.66,2.372,15.334
2022-12-18 15:45:17,124000,-0.229,2.183,8.228
2022-12-18 15:45:18,124500,-2.145,1.972,19.84
2022-12-18 15:45:18,125001,-2.209,2.367,23.103
2022-12-18 15:45:19,125500,-3.478,3.711,24.145
2022-12-18 15:45:19,126000,2.08,-1.089,4.596
2022-12-18 15:45:20,126500,2.545,0.5,13.534
2022-12-18 15:45:20,127001,-4.421,1.304,19.615
2022-12-18 15:45:21,127500,-5.401,5.42,18.808
2022-12-18 15:45:21,128000,8.966,-1.982,-1.733
2022-12-18 15:45:22,128501,-4.357,-0.655,28.232
2022-12-18 15:45:22,129000,-0.045,2.758,8.183
2022-12-18 15:45:23,129500,3.296,-1.228,1.941
2022-12-18 15:45:23,130000,-11.781,5.3,19.273
2022-12-18 15:45:24,130501,7.707,-4.668,5.614
2022-12-18 15:45:24,131000,8.597,-2.482,-2.351
2022-12-18 15:45:25,131500,6.332,-4.694,7.29
2022-12-18 15:45:25,132000,-6.708,9.629,11.355
2022-12-18 15:45:26,132501,-10.261,5.322,21.822
2022-12-18 15:45:26,133000,-3.351,9.742,5.583
2022-12-18 15:45:27,133500,8.341,-7.342,4.388
2022-12-18 15:45:27,134000,8.554,-3.007,5.647
2022-12-18 15:45:28,134501,8.691,-1.06,4.448
2022-12-18 15:45:28,135000,-9.059,6.335,9.765
2022-12-18 15:45:29,135500,11.54,-9.615,2.384
2022-12-18 15:45:29,136001,-0.533,-4.182,9.648
2022-12-18 15:45:30,136500,7.599,-4.57,4.654
2022-12-18 15:45:30,137000,1.848,-0.378,15.411
2022-12-18 15:45:31,137500,-2.954,1.52,15.219
2022-12-18 15:45:31,138001,1.252,-5.966,1.788
2022-12-18 15:45:32,138500,0.878,4.963,12.097
2022-12-18 15:45:32,139000,-3.483,5.238,17.489
2022-12-18 15:45:33,139500,2.739,1.573,-1.12
2022-12-18 15:45:33,140001,3.366,-3.203,2.693
2022-12-18 15:45:34,140500,2.686,0.38,3.854
2022-12-18 15:45:34,141000,-4.409,3.339,15.346
2022-12-18 15:45:35,141501,-0.165,-2.157,1.723
2022-12-18 15:45:35,142000,-2.073,3.533,12.969
2022-12-18 15:45:36,142500,2.667,0.948,5.317
2022-12-18 15:45:36,143000,1.518,-1.0,-0.095
2022-12-18 15:45:37,143501,-0.945,0.55,10.505
2022-12-18 15:45:37,144000,-3.035,0.924,18.389
2022-12-18 15:45:38,144500,-4.431,5.245,22.567
2022-12-18 15:45:38,145000,-2.212,2.308,17.362
2022-12-18 15:45:39,145500,-0.562,2.305,16.292
2022-12-18 15:45:39,146001,0.574,2.633,4.069
2022-12-18 15:45:40,146500,0.555,-3.095,11.068
2022-12-18 15:45:40,147000,3.952,-3.902,13.292
2022-12-18 15:45:41,147500,2.753,0.608,9.897
2022-12-18 15:45:41,148001,0.605,0.217,12.135
2022-12-18 15:45:42,148500,-0.459,-2.611,12.246
2022-12-18 15:45:42,149000,-0.519,0.694,14.013
2022-12-18 15:45:43,149500,-1.726,0.926,6.406
2022-12-18 15:45:43,150001,-4.718,-1.79,10.335
2022-12-18 15:45:44,150500,-0.481,2.212,5.832
2022-12-18 15:45:44,151000,2.116,0.359,5.034
2022-12-18 15:45:45,151500,-3.988,3.555,11.192
2022-12-18 15:45:45,152000,3.146,5.978,8.101
2022-12-18 15:45:46,152501,1.194,-0.016,9.521
2022-12-18 15:45:46,153000,3.143,5.499,0.662
2022-12-18 15:45:47,153500,-0.555,2.188,2.757
2022-12-18 15:45:47,154000,3.924,3.5,-0.701
2022-12-18 15:45:48,154501,-0.83,0.251,8.673
2022-12-18 15:45:48,155000,-5.355,-1.189,13.804
2022-12-18 15:45:49,155500,3.059,-3.502,1.364
2022-12-18 15:45:49,156000,7.575,-6.052,15.518
2022-12-18 15:45:50,156501,-12.957,15.287,5.911
2022-12-18 15:45:50,157000,-0.349,-0.409,10.44
2022-12-18 15:45:51,157500,1.905,-1.96,8.661
2022-12-18 15:45:51,158000,-1.019,5.592,11.415
2022-12-18 15:45:52,158500,-0.579,-1.371,14.915
2022-12-18 15:45:52,159001,0.682,-1.29,6.887
2022-12-18 15:45:53,159500,-2.595,1.096,16.158
2022-12-18 15:45:53,160000,-0.584,-1.328,12.483
2022-12-18 15:45:54,160500,0.229,0.014,1.182
2022-12-18 15:45:54,161001,-2.664,0.912,16.084
2022-12-18 15:45:55,161500,0.847,1.015,2.528
2022-12-18 15:45:55,162000,0.297,1.62,6.919
2022-12-18 15:45:56,162500,0.936,0.806,3.16
2022-12-18 15:45:56,163000,-2.317,0.359,17.75
2022-12-18 15:45:57,163500,1.063,-0.916,10.376
2022-12-18 15:45:57,164000,-0.442,-0.754,9.775
2022-12-18 15:45:58,164501,0.289,0.816,12.633
2022-12-18 15:45:58,165000,-0.038,-1.52,8.908
2022-12-18 15:45:59,165500,-0.509,2.777,8.231
2022-12-18 15:45:59,166001,0.996,0.383,1.869
2022-12-18 15:46:00,166500,-0.102,3.634,7.833
2022-12-18 15:46:00,167000,2.195,0.761,5.537
2022-12-18 15:46:01,167500,0.969,4.999,8.664
2022-12-18 15:46:01,168001,-1.211,2.248,11.822
2022-12-18 15:46:02,168500,-3.33,3.555,12.492
2022-12-18 15:46:02,169000,-0.665,0.031,10.366
2022-12-18 15:46:03,169500,-1.06,3.45,18.31
2022-12-18 15:46:03,170001,-4.081,2.516,14.123
2022-12-18 15:46:04,170500,-0.421,-1.881,2.676
2022-12-18 15:46:04,171000,-2.887,3.466,13.28
2022-12-18 15:46:05,171500,0.943,2.126,9.863
2022-12-18 15:46:05,172000,-1.635,-0.337,16.852
2022-12-18 15:46:06,172501,-1.441,5.334,13.237
2022-12-18 15:46:06,173000,-1.443,-0.533,16.184
2022-12-18 15:46:07,173500,2.408,4.051,12.274
2022-12-18 15:46:07,174000,-1.479,3.335,8.046
2022-12-18 15:46:08,174500,1.678,-0.907,10.474
2022-12-18 15:46:08,175001,1.846,5.217,9.983
2022-12-18 15:46:09,175500,-0.11,-0.833,9.167
2022-12-18 15:46:09,176000,1.618,-2.635,8.973
2022-12-18 15:46:10,176501,0.639,-1.462,10.347
2022-12-18 15:46:10,177000,2.09,0.893,7.948
2022-12-18 15:46:11,177500,0.957,1.089,8.089
2022-12-18 15:46:11,178001,-2.101,-1.101,10.12
2022-12-18 15:46:12,178501,-0.71,2.245,10.843
